"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Hybridization Assay Name"	"Comment[ArrayExpress Accession]"	"Comment[ArrayExpress Raw Data URL]"	"Comment[ArrayExpress Processed Data URL]"	"Array Design REF"	"Scan Name"	"Array Data File"	"Normalization Name"	"Derived Array Data File"	"Factor Value[limiting nutrient]"	"Term Source REF"	"Term Accession Number"	"Factor Value[rate]"	"Unit"	"Term Source REF"	"Term Accession Number"
"C-0.2-aliquot3"	"mRNA extraction"	"C-0.2-aliquot3"	"biotin labeling"	"C-0.2-aliquot3"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3918"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3918"	"E-MEXP-115-raw-data-331219245.txt"	"SCAN:MEXP:3918"	"E-MEXP-115-processed-data-1341986893.txt"	"carbon"	""	""	"0.2"	"l/hr"	""	""
"C-0.2-aliquot4"	"mRNA extraction"	"C-0.2-aliquot4"	"biotin labeling"	"C-0.2-aliquot4"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3917"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3917"	"E-MEXP-115-raw-data-331219131.txt"	"SCAN:MEXP:3917"	"E-MEXP-115-processed-data-1341986893.txt"	"carbon"	""	""	"0.2"	"l/hr"	""	""
"N-0.07-aliquot1"	"mRNA extraction"	"N-0.07-aliquot1"	"biotin labeling"	"N-0.07-aliquot1"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3919"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3919"	"E-MEXP-115-raw-data-331219361.txt"	"SCAN:MEXP:3919"	"E-MEXP-115-processed-data-1341986893.txt"	"nitrogen"	""	""	"0.07"	"l/hr"	""	""
"N-0.07-aliquot2"	"mRNA extraction"	"N-0.07-aliquot2"	"biotin labeling"	"N-0.07-aliquot2"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3921"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3921"	"E-MEXP-115-raw-data-331219634.txt"	"SCAN:MEXP:3921"	"E-MEXP-115-processed-data-1341986893.txt"	"nitrogen"	""	""	"0.07"	"l/hr"	""	""
"N-0.07-aliquot3"	"mRNA extraction"	"N-0.07-aliquot3"	"biotin labeling"	"N-0.07-aliquot3"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3922"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3922"	"E-MEXP-115-raw-data-331219767.txt"	"SCAN:MEXP:3922"	"E-MEXP-115-processed-data-1341986893.txt"	"nitrogen"	""	""	"0.07"	"l/hr"	""	""
"N-0.07-aliquot4"	"mRNA extraction"	"N-0.07-aliquot4"	"biotin labeling"	"N-0.07-aliquot4"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3920"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3920"	"E-MEXP-115-raw-data-331219490.txt"	"SCAN:MEXP:3920"	"E-MEXP-115-processed-data-1341986893.txt"	"nitrogen"	""	""	"0.07"	"l/hr"	""	""
"N-0.1-aliquot1"	"mRNA extraction"	"N-0.1-aliquot1"	"biotin labeling"	"N-0.1-aliquot1"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3926"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3926"	"E-MEXP-115-raw-data-331220431.txt"	"SCAN:MEXP:3926"	"E-MEXP-115-processed-data-1341986893.txt"	"nitrogen"	""	""	"0.1"	"l/hr"	""	""
"N-0.1-aliquot2"	"mRNA extraction"	"N-0.1-aliquot2"	"biotin labeling"	"N-0.1-aliquot2"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3923"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3923"	"E-MEXP-115-raw-data-331219914.txt"	"SCAN:MEXP:3923"	"E-MEXP-115-processed-data-1341986893.txt"	"nitrogen"	""	""	"0.1"	"l/hr"	""	""
"N-0.1-aliquot3"	"mRNA extraction"	"N-0.1-aliquot3"	"biotin labeling"	"N-0.1-aliquot3"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3925"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3925"	"E-MEXP-115-raw-data-331220272.txt"	"SCAN:MEXP:3925"	"E-MEXP-115-processed-data-1341986893.txt"	"nitrogen"	""	""	"0.1"	"l/hr"	""	""
"N-0.1-aliquot4"	"mRNA extraction"	"N-0.1-aliquot4"	"biotin labeling"	"N-0.1-aliquot4"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3924"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3924"	"E-MEXP-115-raw-data-331220090.txt"	"SCAN:MEXP:3924"	"E-MEXP-115-processed-data-1341986893.txt"	"nitrogen"	""	""	"0.1"	"l/hr"	""	""
"N-0.2-aliquot1"	"mRNA extraction"	"N-0.2-aliquot1"	"biotin labeling"	"N-0.2-aliquot1"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3930"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3930"	"E-MEXP-115-raw-data-331221148.txt"	"SCAN:MEXP:3930"	"E-MEXP-115-processed-data-1341986893.txt"	"nitrogen"	""	""	"0.2"	"l/hr"	""	""
"N-0.2-aliquot2"	"mRNA extraction"	"N-0.2-aliquot2"	"biotin labeling"	"N-0.2-aliquot2"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3929"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3929"	"E-MEXP-115-raw-data-331220982.txt"	"SCAN:MEXP:3929"	"E-MEXP-115-processed-data-1341986893.txt"	"nitrogen"	""	""	"0.2"	"l/hr"	""	""
"N-0.2-aliquot3"	"mRNA extraction"	"N-0.2-aliquot3"	"biotin labeling"	"N-0.2-aliquot3"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3928"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3928"	"E-MEXP-115-raw-data-331220784.txt"	"SCAN:MEXP:3928"	"E-MEXP-115-processed-data-1341986893.txt"	"nitrogen"	""	""	"0.2"	"l/hr"	""	""
"N-0.2-aliquot4"	"mRNA extraction"	"N-0.2-aliquot4"	"biotin labeling"	"N-0.2-aliquot4"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3927"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3927"	"E-MEXP-115-raw-data-331220607.txt"	"SCAN:MEXP:3927"	"E-MEXP-115-processed-data-1341986893.txt"	"nitrogen"	""	""	"0.2"	"l/hr"	""	""
"P-0.07-aliquot1"	"mRNA extraction"	"P-0.07-aliquot1"	"biotin labeling"	"P-0.07-aliquot1"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3932"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3932"	"E-MEXP-115-raw-data-331221518.txt"	"SCAN:MEXP:3932"	"E-MEXP-115-processed-data-1341986893.txt"	"phosphorus"	""	""	"0.07"	"l/hr"	""	""
"P-0.07-aliquot2"	"mRNA extraction"	"P-0.07-aliquot2"	"biotin labeling"	"P-0.07-aliquot2"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3934"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3934"	"E-MEXP-115-raw-data-331221873.txt"	"SCAN:MEXP:3934"	"E-MEXP-115-processed-data-1341986893.txt"	"phosphorus"	""	""	"0.07"	"l/hr"	""	""
"P-0.07-aliquot3"	"mRNA extraction"	"P-0.07-aliquot3"	"biotin labeling"	"P-0.07-aliquot3"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3931"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3931"	"E-MEXP-115-raw-data-331221345.txt"	"SCAN:MEXP:3931"	"E-MEXP-115-processed-data-1341986893.txt"	"phosphorus"	""	""	"0.07"	"l/hr"	""	""
"P-0.07-aliquot4"	"mRNA extraction"	"P-0.07-aliquot4"	"biotin labeling"	"P-0.07-aliquot4"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3933"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3933"	"E-MEXP-115-raw-data-331221668.txt"	"SCAN:MEXP:3933"	"E-MEXP-115-processed-data-1341986893.txt"	"phosphorus"	""	""	"0.07"	"l/hr"	""	""
"P-0.1-aliquot1"	"mRNA extraction"	"P-0.1-aliquot1"	"biotin labeling"	"P-0.1-aliquot1"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3938"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3938"	"E-MEXP-115-raw-data-331222534.txt"	"SCAN:MEXP:3938"	"E-MEXP-115-processed-data-1341986893.txt"	"phosphorus"	""	""	"0.1"	"l/hr"	""	""
"P-0.1-aliquot2"	"mRNA extraction"	"P-0.1-aliquot2"	"biotin labeling"	"P-0.1-aliquot2"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3935"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3935"	"E-MEXP-115-raw-data-331222054.txt"	"SCAN:MEXP:3935"	"E-MEXP-115-processed-data-1341986893.txt"	"phosphorus"	""	""	"0.1"	"l/hr"	""	""
"P-0.1-aliquot3"	"mRNA extraction"	"P-0.1-aliquot3"	"biotin labeling"	"P-0.1-aliquot3"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3937"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3937"	"E-MEXP-115-raw-data-331222380.txt"	"SCAN:MEXP:3937"	"E-MEXP-115-processed-data-1341986893.txt"	"phosphorus"	""	""	"0.1"	"l/hr"	""	""
"P-0.1-aliquot4"	"mRNA extraction"	"P-0.1-aliquot4"	"biotin labeling"	"P-0.1-aliquot4"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3936"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3936"	"E-MEXP-115-raw-data-331222215.txt"	"SCAN:MEXP:3936"	"E-MEXP-115-processed-data-1341986893.txt"	"phosphorus"	""	""	"0.1"	"l/hr"	""	""
"P-0.2-aliquot1"	"mRNA extraction"	"P-0.2-aliquot1"	"biotin labeling"	"P-0.2-aliquot1"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3940"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3940"	"E-MEXP-115-raw-data-331222917.txt"	"SCAN:MEXP:3940"	"E-MEXP-115-processed-data-1341986893.txt"	"phosphorus"	""	""	"0.2"	"l/hr"	""	""
"P-0.2-aliquot2"	"mRNA extraction"	"P-0.2-aliquot2"	"biotin labeling"	"P-0.2-aliquot2"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3941"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3941"	"E-MEXP-115-raw-data-331223115.txt"	"SCAN:MEXP:3941"	"E-MEXP-115-processed-data-1341986893.txt"	"phosphorus"	""	""	"0.2"	"l/hr"	""	""
"P-0.2-aliquot3"	"mRNA extraction"	"P-0.2-aliquot3"	"biotin labeling"	"P-0.2-aliquot3"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3942"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3942"	"E-MEXP-115-raw-data-331223321.txt"	"SCAN:MEXP:3942"	"E-MEXP-115-processed-data-1341986893.txt"	"phosphorus"	""	""	"0.2"	"l/hr"	""	""
"P-0.2-aliquot4"	"mRNA extraction"	"P-0.2-aliquot4"	"biotin labeling"	"P-0.2-aliquot4"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3939"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3939"	"E-MEXP-115-raw-data-331222701.txt"	"SCAN:MEXP:3939"	"E-MEXP-115-processed-data-1341986893.txt"	"phosphorus"	""	""	"0.2"	"l/hr"	""	""
"S-0.07-aliquot1"	"mRNA extraction"	"S-0.07-aliquot1"	"biotin labeling"	"S-0.07-aliquot1"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3944"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3944"	"E-MEXP-115-raw-data-331223667.txt"	"SCAN:MEXP:3944"	"E-MEXP-115-processed-data-1341986893.txt"	"sulphur"	""	""	"0.07"	"l/hr"	""	""
"S-0.07-aliquot2"	"mRNA extraction"	"S-0.07-aliquot2"	"biotin labeling"	"S-0.07-aliquot2"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3945"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3945"	"E-MEXP-115-raw-data-331223835.txt"	"SCAN:MEXP:3945"	"E-MEXP-115-processed-data-1341986893.txt"	"sulphur"	""	""	"0.07"	"l/hr"	""	""
"S-0.07-aliquot3"	"mRNA extraction"	"S-0.07-aliquot3"	"biotin labeling"	"S-0.07-aliquot3"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3946"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3946"	"E-MEXP-115-raw-data-331223977.txt"	"SCAN:MEXP:3946"	"E-MEXP-115-processed-data-1341986893.txt"	"sulphur"	""	""	"0.07"	"l/hr"	""	""
"S-0.07-aliquot4"	"mRNA extraction"	"S-0.07-aliquot4"	"biotin labeling"	"S-0.07-aliquot4"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3943"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3943"	"E-MEXP-115-raw-data-331223501.txt"	"SCAN:MEXP:3943"	"E-MEXP-115-processed-data-1341986893.txt"	"sulphur"	""	""	"0.07"	"l/hr"	""	""
"S-0.1-aliquot1"	"mRNA extraction"	"S-0.1-aliquot1"	"biotin labeling"	"S-0.1-aliquot1"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3948"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3948"	"E-MEXP-115-raw-data-331224301.txt"	"SCAN:MEXP:3948"	"E-MEXP-115-processed-data-1341986893.txt"	"sulphur"	""	""	"0.1"	"l/hr"	""	""
"S-0.1-aliquot2"	"mRNA extraction"	"S-0.1-aliquot2"	"biotin labeling"	"S-0.1-aliquot2"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3947"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3947"	"E-MEXP-115-raw-data-331224145.txt"	"SCAN:MEXP:3947"	"E-MEXP-115-processed-data-1341986893.txt"	"sulphur"	""	""	"0.1"	"l/hr"	""	""
"S-0.1-aliquot3"	"mRNA extraction"	"S-0.1-aliquot3"	"biotin labeling"	"S-0.1-aliquot3"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3950"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3950"	"E-MEXP-115-raw-data-331224703.txt"	"SCAN:MEXP:3950"	"E-MEXP-115-processed-data-1341986893.txt"	"sulphur"	""	""	"0.1"	"l/hr"	""	""
"S-0.1-aliquot4"	"mRNA extraction"	"S-0.1-aliquot4"	"biotin labeling"	"S-0.1-aliquot4"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3949"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3949"	"E-MEXP-115-raw-data-331224480.txt"	"SCAN:MEXP:3949"	"E-MEXP-115-processed-data-1341986893.txt"	"sulphur"	""	""	"0.1"	"l/hr"	""	""
"S-0.2-aliquot1"	"mRNA extraction"	"S-0.2-aliquot1"	"biotin labeling"	"S-0.2-aliquot1"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3951"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3951"	"E-MEXP-115-raw-data-331224884.txt"	"SCAN:MEXP:3951"	"E-MEXP-115-processed-data-1341986893.txt"	"sulphur"	""	""	"0.2"	"l/hr"	""	""
"S-0.2-aliquot2"	"mRNA extraction"	"S-0.2-aliquot2"	"biotin labeling"	"S-0.2-aliquot2"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3954"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3954"	"E-MEXP-115-raw-data-331225401.txt"	"SCAN:MEXP:3954"	"E-MEXP-115-processed-data-1341986893.txt"	"sulphur"	""	""	"0.2"	"l/hr"	""	""
"S-0.2-aliquot3"	"mRNA extraction"	"S-0.2-aliquot3"	"biotin labeling"	"S-0.2-aliquot3"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3952"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3952"	"E-MEXP-115-raw-data-331225097.txt"	"SCAN:MEXP:3952"	"E-MEXP-115-processed-data-1341986893.txt"	"sulphur"	""	""	"0.2"	"l/hr"	""	""
"S-0.2-aliquot4"	"mRNA extraction"	"S-0.2-aliquot4"	"biotin labeling"	"S-0.2-aliquot4"	"biotin"	"CHEBI"	"15956"	"EukGE-WS4"	"HYB:MEXP:3953"	"E-MEXP-115"	"E-MEXP-115"	"E-MEXP-115"	"A-AFFY-27"	"SCAN:MEXP:3953"	"E-MEXP-115-raw-data-331225235.txt"	"SCAN:MEXP:3953"	"E-MEXP-115-processed-data-1341986893.txt"	"sulphur"	""	""	"0.2"	"l/hr"	""	""
